TICKER,DATE,DIRECTION,EARNINGS_D1,has_trade,turn_t,entry_t,entry,stop,R,exit,stopped,ret_R,ret_pct,mfe_R,mae_R,risk_atr,clean_hold
XYL,2025-08-01,BULLISH,1,True,88,92,140.96,140.6,0.36000000000001364,142.06,False,3.055555555555424,0.7803632236095259,4.166666666666509,0.8888888888889152,0.18495684340321294,False
CRML,2026-04-28,BULLISH,1,True,0,2,12.61,12.35,0.2599999999999998,12.35,True,-1.0,-2.0618556701030966,3.730769230769236,3.0,0.18738738738738725,True
NVST,2026-02-09,BULLISH,1,True,24,28,28.97,28.775,0.19500000000000028,29.38,False,2.1025641025641004,1.4152571625819732,4.3589743589743595,0.4871794871794806,0.23038752362948992,False
OUT,2025-11-10,BULLISH,1,True,12,14,19.91,19.75,0.16000000000000014,20.17,False,1.6250000000000082,1.3058764439979997,3.5624999999999987,0.31250000000000416,0.32533550223668184,False
SPPP,2025-10-09,BULLISH,1,True,64,70,14.97,14.9,0.07000000000000028,14.9,True,-1.0,-0.4676018704074858,1.1428571428571392,9.142857142857114,0.22179974651457632,False
DELL,2026-03-02,BULLISH,1,True,0,3,148.87,146.0003,2.8696999999999946,153.56,False,1.6343171760114321,3.1503996775710252,1.6900721329755735,0.8746558873749855,0.4743305785123958,True
NFXL,2026-03-02,BULLISH,1,True,0,2,31.55,30.04,1.5100000000000016,31.25,False,-0.198675496688742,-0.9508716323296418,0.22516556291390696,0.7284768211920531,0.9951888222500505,True
HALO,2025-05-08,BULLISH,1,True,23,26,67.53,67.13,0.4000000000000057,67.72,False,0.47499999999998754,0.2813564341773933,3.6749999999999448,0.7250000000000053,0.19815713861092127,False
NUVB,2025-11-20,BULLISH,1,True,85,92,7.105,7.0,0.10500000000000043,7.0,True,-1.0,-1.4778325123152802,1.9047619047618902,2.428571428571426,0.22845953002611058,False
COUR,2025-07-28,BULLISH,1,True,84,87,12.43,12.36,0.07000000000000028,12.36,True,-1.0,-0.5631536604987941,2.1428571428571392,2.9999999999999747,0.23148148148148243,False
ATEC,2025-08-04,BULLISH,1,True,10,16,14.0,13.81,0.1899999999999995,14.87,False,4.57894736842106,6.2142857142857055,4.736842105263172,0.3078947368421084,0.47417020214624284,False
MNSO,2025-08-25,BULLISH,1,True,3,5,25.26,25.1,0.16000000000000014,25.63,False,2.312499999999982,1.4647664291369544,5.65624999999998,0.6562500000000021,0.23265958993747296,True
MNMD,2025-09-30,BULLISH,1,True,11,14,11.5099,11.36,0.1499000000000006,11.36,True,-1.0,-1.30235710127804,2.16877918612408,2.2521681120747084,0.23957167971871596,False
YSS,2026-04-10,BULLISH,0,True,20,22,33.085,32.37,0.7150000000000034,32.37,True,-1.0,-2.161100196463661,2.363636363636349,1.988111888111881,0.264706971233943,False
JHG,2026-02-17,BULLISH,0,True,0,4,48.995,48.9101,0.08489999999999753,49.52,False,6.183745583039116,1.0715379120318502,8.068315665489072,0.5300353356889977,0.3367711225703988,True
JHG,2026-02-13,BULLISH,0,True,2,11,48.56,48.53,0.030000000000001137,49.05,False,16.333333333332543,1.0090609555189367,17.996666666665845,0.33333333333349124,0.1308329699084219,True
CAR,2026-04-08,BULLISH,0,True,77,82,252.54,244.14,8.400000000000006,244.14,True,-1.0,-3.326205749584221,1.0619047619047597,3.0392857142857124,0.5693255525507822,False
SGMT,2025-06-13,BULLISH,0,True,4,8,8.43,8.2,0.23000000000000043,8.2,True,-1.0,-2.7283511269276417,5.086956521739121,3.1739130434782528,0.4184861717612817,True
UBS,2025-12-08,BULLISH,0,True,0,3,40.96,40.883,0.07699999999999818,40.883,True,-1.0,-0.18798828124999556,3.3766233766234306,2.145454545454579,0.12891344383056785,True
SBAC,2026-04-06,BULLISH,0,True,0,3,206.495,203.5,2.9950000000000045,212.43,False,1.9816360601001648,2.8741616019758442,2.4624373956594288,0.9916527545909831,0.6264379836854225,True
DBI,2025-12-11,BULLISH,0,True,67,71,7.92,7.825,0.09499999999999975,8.17,False,2.631578947368428,3.1565656565656575,2.631578947368428,0.7368421052631628,0.21078322609274408,False
SPR,2025-12-04,BULLISH,0,True,82,87,38.795,38.705,0.09000000000000341,39.39,False,6.611111111110848,1.5337027967521566,8.722222222221854,0.7777777777777515,0.11060587440088904,False
NUTR,2025-09-26,BULLISH,0,True,44,46,6.81,6.48,0.3299999999999992,7.13,False,0.9696969696969729,4.698972099853171,1.7575757575757622,0.9393939393939406,0.9688784497944779,False
QS,2025-06-27,BULLISH,0,True,8,12,7.245,7.01,0.23500000000000032,7.01,True,-1.0,-3.243616287094553,1.382978723404254,3.459148936170208,0.6406761177753553,True
STEX,2025-09-12,BULLISH,0,True,7,9,5.8434,5.55,0.2934000000000001,6.2,False,1.2154055896387188,6.102611493308685,3.0558963871847307,0.7784594410361269,0.6200338123415049,True
AAP,2025-10-31,BEARISH,1,True,0,3,49.89,51.0134,1.1233999999999966,47.13,False,2.4568274879829146,5.532170775706547,3.907779953711958,0.04139220224319201,0.46450279098614705,True
EVLV,2025-11-17,BEARISH,1,True,38,44,5.955,6.0,0.04499999999999993,5.76,False,4.333333333333346,3.2745591939546626,6.1111111111111285,0.6666666666666733,0.127190503109101,False
LENZ,2025-11-06,BEARISH,1,True,59,63,23.405,23.877,0.47199999999999775,22.98,False,0.9004237288135651,1.8158513138218368,2.6165254237288247,0.8156779661016946,0.20019510539932892,False
COMP,2025-05-12,BEARISH,1,True,0,2,6.38,6.545,0.16500000000000004,6.465,False,-0.5151515151515148,-1.3322884012539227,1.090909090909089,0.5454545454545445,0.5086313193588163,True
RBLX,2025-10-31,BEARISH,1,True,0,4,117.005,119.8499,2.8449000000000098,113.63,False,1.1863334387851905,2.8844921157215486,2.040493514710525,0.4095047277584457,0.4834976206662151,True
MBC,2025-05-08,BEARISH,1,True,25,30,10.325,10.41,0.08500000000000085,10.41,True,-1.0,-0.8232445520581111,1.5882352941176285,1.823529411764701,0.20325203252032722,False
UNH,2025-05-14,BEARISH,1,True,4,8,320.6911,322.94,2.248899999999992,307.9471,False,5.666770421094791,3.973917579876718,6.038996842900992,0.8799413046378306,0.2164193467675185,True
PRGO,2025-11-06,BEARISH,1,True,0,5,14.895,15.22,0.32500000000000107,14.925,False,-0.0923076923076955,-0.20140986908359082,1.3384615384615302,0.5999999999999989,0.6019633265419542,True
BRBR,2025-05-07,BEARISH,1,True,2,4,64.41,65.0,0.5900000000000034,65.0,True,-1.0,-0.9160068312373815,4.542372881355906,1.0,0.2320094376720422,True
BRZE,2025-06-09,BEARISH,1,True,15,17,31.0201,31.3,0.27990000000000137,30.63,False,1.3937120400142853,1.2575717035083755,2.3226152197213117,0.7499106823865669,0.2368821936357493,False
SVV,2025-11-03,BEARISH,1,True,0,3,9.02,9.3568,0.3368000000000002,8.575,False,1.3212589073634204,4.933481152993346,1.4548693586698334,0.950118764845606,0.6249768046019674,True
ASAN,2025-06-05,BEARISH,1,True,4,6,14.8902,15.11,0.21979999999999933,14.72,False,0.7743403093721565,1.143033673154148,1.6160145586897228,0.954504094631484,0.310189105278012,True
APLS,2025-10-31,BEARISH,1,True,0,2,20.025,21.1,1.0750000000000028,21.1,True,-1.0,-5.368289637952572,0.7209302325581363,1.6510697674418584,0.7586450247000726,True
PANW,2025-07-30,BEARISH,0,True,85,87,182.14,183.25,1.1100000000000136,183.25,True,-1.0,-0.6094213242560764,1.198198198198169,3.585585585585558,0.21146885120975686,False
SNOW,2026-04-10,BEARISH,0,True,1,3,129.71,132.91,3.1999999999999886,121.06,False,2.7031250000000115,6.668722534885518,3.5656250000000163,0.474999999999996,0.38557468702179565,True
HTGC,2026-02-04,BEARISH,0,True,1,3,17.5193,17.55,0.030699999999999505,16.965,False,18.055374592834212,3.163939198483967,19.846905537459637,0.8371335504886291,0.10848056537102299,True
NVCR,2025-07-25,BEARISH,0,True,0,2,12.48,12.73,0.25,12.035,False,1.7800000000000011,3.565705128205132,3.6396000000000015,0.6051999999999964,0.3878374185541421,True
ITRI,2025-11-03,BEARISH,0,True,83,85,103.2,103.495,0.296375,103.495,True,-0.9953606073386814,-0.28585271317829175,0.8435259384226065,14.171235765499798,0.04976803036693407,False
REPL,2025-05-07,BEARISH,0,True,0,3,7.55,7.77,0.21999999999999975,7.16,False,1.7727272727272734,5.1655629139072845,2.500000000000002,0.3059090909090929,0.3830750478843805,True
SRPT,2025-05-07,BEARISH,0,True,0,3,38.855,40.0,1.1450000000000031,40.0,True,-1.0,-2.946853686784201,1.9825327510916941,1.0,0.4366395911985673,True
SLNO,2025-07-11,BEARISH,0,True,40,45,82.64,83.0,0.35999999999999943,83.0,True,-1.0,-0.4356243949661165,3.277777777777802,1.5555555555555642,0.11161752395126018,False
FI,2025-05-16,BEARISH,0,True,88,96,166.54,166.4158,0.23428000000000002,166.4158,True,0.5301348813385771,0.0745766782754953,5.932644698651114,6.189175345740212,-0.02650674406692886,False
ITOS,2025-07-22,BEARISH,0,True,1,6,10.17,10.19,0.019999999999999574,10.105,False,3.2500000000000444,0.6391347099311662,3.7500000000000444,0.3750000000000222,0.15822784810126245,True
GOF,2025-10-21,BEARISH,0,True,80,82,13.57,13.6,0.02999999999999936,13.6,True,-1.0,-0.22107590272659738,8.666666666666844,2.1666666666666963,0.21201413427561389,False
