DATE,D1_DATE,TICKER,DIRECTION,EARNINGS_D1,D1_OPEN,D1_HIGH,D1_LOW,D1_CLOSE,ATR14,D1_ADV_MULT,D1_CLOSE_LOC,GAP_PCT,PRIOR_5D_HIGH,PRIOR_5D_LOW
2025-08-01,2025-07-31,XYL,BULLISH,1,137.705,144.83,135.0,144.62,1.9464,3.6372,0.9786,5.4403,133.81,130.12
2026-04-28,2026-04-27,CRML,BULLISH,1,12.425,14.51,11.56,14.45,1.3875,3.3962,0.9797,7.9496,13.68,10.34
2026-02-09,2026-02-06,NVST,BULLISH,1,27.905,29.275,26.74,29.1,0.8464,3.1953,0.931,12.93,25.08,22.75
2025-11-10,2025-11-07,OUT,BULLISH,1,18.22,20.19,18.14,20.16,0.4918,4.7707,0.9854,3.4052,17.86,17.0
2025-10-09,2025-10-08,SPPP,BULLISH,1,14.61,15.137,14.5013,15.09,0.3156,4.3146,0.9261,3.5436,14.31,13.2
2026-03-02,2026-02-27,DELL,BULLISH,1,137.37,148.86,136.11,148.08,6.05,4.2228,0.9388,13.1083,126.0,117.2
2026-03-02,2026-02-27,NFXL,BULLISH,1,29.58,31.01,27.54,30.8,1.5173,5.4888,0.9395,22.6368,24.635,19.07
2025-05-08,2025-05-07,HALO,BULLISH,1,63.69,70.505,61.75,70.14,2.0186,6.4396,0.9583,7.2583,62.075,58.38
2025-11-20,2025-11-19,NUVB,BULLISH,1,4.99,7.35,4.94,7.15,0.4596,6.3126,0.917,3.9583,5.35,4.53
2025-07-28,2025-07-25,COUR,BULLISH,1,11.55,12.49,11.0,12.37,0.3024,13.4684,0.9195,27.2026,9.2,8.47
2025-08-04,2025-08-01,ATEC,BULLISH,1,11.975,13.89,11.66,13.77,0.4007,8.9055,0.9462,13.1853,11.31,10.11
2025-08-25,2025-08-22,MNSO,BULLISH,1,24.365,26.74,24.3,26.63,0.6877,7.8983,0.9549,9.9008,22.86,19.59
2025-09-30,2025-09-29,MNMD,BULLISH,1,11.125,12.14,10.88,12.04,0.6257,3.4891,0.9206,4.2643,10.76,8.7732
